(/home/ege_artan/.code/Python/hypersonics) ege_artan@EgeLaptop:/mnt/c/SenkDosya/Projects/Hypersonics$ python arc/sod_passc_deneme.py --skip-fem

========  STEP 1 : FEM  ========
[INFO] --skip-fem set; reusing runs/fem/refactor/older/sod_fem_snapshots.npz as-is.

========  STEP 2 : PINN  ========
[INFO] PINN device = cuda
[INFO] 10 snapshots, 251 nodes, t in [0.1910, 0.2000], gamma = 1.4
[INFO] U_ref = [1. 1. 3.]
[INFO] FEM fingerprint = 8e8a686f051f185f
[INFO] PINN fingerprint = 4860d026fb80167a
[INFO] No PINN cache at runs/pinn/refactor/older/sod_passc_model.pt; training.
epoch  1240 | L_tot 1.867e-04 | L_data 1.962e-04 | L_pde 1.149e-04 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 14.42 min
epoch  1260 | L_tot 1.479e-04 | L_data 1.735e-04 | L_pde 7.300e-05 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 14.62 min
epoch  1280 | L_tot 1.804e-04 | L_data 1.605e-04 | L_pde 1.402e-04 | w_data 0.60 w_pde 0.60 | lr 6.5e-04| t_elapsed 14.82 min
epoch  1300 | L_tot 1.076e-04 | L_data 1.317e-04 | L_pde 4.760e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 15.03 min
epoch  1320 | L_tot 9.586e-05 | L_data 1.113e-04 | L_pde 4.848e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 15.25 min
epoch  1340 | L_tot 9.709e-05 | L_data 9.770e-05 | L_pde 6.412e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 15.49 min
epoch  1360 | L_tot 1.102e-04 | L_data 9.401e-05 | L_pde 8.960e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 15.70 min
epoch  1380 | L_tot 9.275e-05 | L_data 8.260e-05 | L_pde 7.198e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 15.90 min
epoch  1400 | L_tot 7.364e-05 | L_data 6.831e-05 | L_pde 5.442e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 16.11 min
epoch  1420 | L_tot 1.237e-04 | L_data 6.845e-05 | L_pde 1.376e-04 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 16.31 min
epoch  1440 | L_tot 7.702e-05 | L_data 5.255e-05 | L_pde 7.581e-05 | w_data 0.60 w_pde 0.60 | lr 5.8e-04| t_elapsed 16.52 min
epoch  1460 | L_tot 5.885e-05 | L_data 5.579e-05 | L_pde 4.230e-05 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 16.72 min
epoch  1480 | L_tot 5.035e-05 | L_data 4.797e-05 | L_pde 3.595e-05 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 16.93 min
epoch  1500 | L_tot 5.582e-05 | L_data 4.080e-05 | L_pde 5.222e-05 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 17.15 min
epoch  1520 | L_tot 4.397e-05 | L_data 3.821e-05 | L_pde 3.508e-05 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 17.40 min
epoch  1540 | L_tot 9.774e-05 | L_data 3.950e-05 | L_pde 1.234e-04 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 17.63 min
epoch  1560 | L_tot 3.948e-05 | L_data 3.563e-05 | L_pde 3.017e-05 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 17.86 min
epoch  1580 | L_tot 5.497e-05 | L_data 3.306e-05 | L_pde 5.856e-05 | w_data 0.60 w_pde 0.60 | lr 5.2e-04| t_elapsed 18.07 min
epoch  1600 | L_tot 3.208e-05 | L_data 2.980e-05 | L_pde 2.367e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 18.28 min
epoch  1620 | L_tot 3.104e-05 | L_data 2.732e-05 | L_pde 2.441e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 18.54 min
epoch  1640 | L_tot 3.296e-05 | L_data 2.567e-05 | L_pde 2.926e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 18.77 min
epoch  1660 | L_tot 2.793e-05 | L_data 2.518e-05 | L_pde 2.137e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 18.98 min
epoch  1680 | L_tot 5.200e-05 | L_data 2.367e-05 | L_pde 6.300e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 19.19 min
epoch  1700 | L_tot 2.657e-05 | L_data 2.234e-05 | L_pde 2.195e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 19.40 min
epoch  1720 | L_tot 5.716e-05 | L_data 2.160e-05 | L_pde 7.367e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 19.62 min
epoch  1740 | L_tot 2.385e-05 | L_data 1.974e-05 | L_pde 2.001e-05 | w_data 0.60 w_pde 0.60 | lr 4.7e-04| t_elapsed 19.87 min
epoch  1760 | L_tot 2.490e-05 | L_data 1.826e-05 | L_pde 2.324e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 20.13 min
epoch  1780 | L_tot 2.754e-05 | L_data 1.612e-05 | L_pde 2.978e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 20.35 min
epoch  1800 | L_tot 2.820e-05 | L_data 1.514e-05 | L_pde 3.185e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 20.59 min
epoch  1820 | L_tot 2.216e-05 | L_data 1.545e-05 | L_pde 2.148e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 20.81 min
epoch  1840 | L_tot 2.729e-05 | L_data 1.468e-05 | L_pde 3.080e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 21.04 min
epoch  1860 | L_tot 2.049e-05 | L_data 1.394e-05 | L_pde 2.020e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 21.25 min
epoch  1880 | L_tot 2.157e-05 | L_data 1.387e-05 | L_pde 2.208e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 21.47 min
epoch  1900 | L_tot 2.621e-05 | L_data 1.322e-05 | L_pde 3.047e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 21.67 min
epoch  1920 | L_tot 2.351e-05 | L_data 1.318e-05 | L_pde 2.600e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 21.88 min
epoch  1940 | L_tot 2.835e-05 | L_data 1.314e-05 | L_pde 3.411e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 22.09 min
epoch  1960 | L_tot 2.034e-05 | L_data 1.434e-05 | L_pde 1.955e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 22.29 min
epoch  1980 | L_tot 1.983e-05 | L_data 1.233e-05 | L_pde 2.071e-05 | w_data 0.60 w_pde 0.60 | lr 4.3e-04| t_elapsed 22.51 min
epoch  2000 | L_tot 1.444e-01 | L_data 1.544e-04 | L_pde 2.886e-02 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 22.71 min
epoch  2020 | L_tot 1.132e-03 | L_data 2.142e-03 | L_pde 9.778e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 22.92 min
epoch  2040 | L_tot 4.599e-04 | L_data 1.041e-03 | L_pde 2.953e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 23.13 min
epoch  2060 | L_tot 3.108e-04 | L_data 6.676e-04 | L_pde 2.211e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 23.34 min
epoch  2080 | L_tot 2.643e-04 | L_data 5.652e-04 | L_pde 1.895e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 23.56 min
epoch  2100 | L_tot 2.120e-04 | L_data 5.021e-04 | L_pde 1.227e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 23.77 min
epoch  2120 | L_tot 2.117e-04 | L_data 4.822e-04 | L_pde 1.340e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 23.98 min
epoch  2140 | L_tot 2.527e-04 | L_data 4.449e-04 | L_pde 2.385e-05 | w_data 0.30 w_pde 5.00 | lr 4.3e-04| t_elapsed 24.19 min
epoch  2160 | L_tot 1.745e-04 | L_data 4.391e-04 | L_pde 8.555e-06 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 24.39 min
epoch  2180 | L_tot 1.595e-04 | L_data 4.076e-04 | L_pde 7.441e-06 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 24.61 min
epoch  2200 | L_tot 1.679e-04 | L_data 3.902e-04 | L_pde 1.016e-05 | w_data 0.30 w_pde 5.00 | lr 3.8e-04| t_elapsed 24.81 min
